video_id,channel_id,channel_title,title,description,published_at,category_id,tags,view_count,like_count,comment_count,duration,definition,caption,video_age_days,duration_seconds,is_short,collection_min_age_days,collection_max_age_days,channel_subscriber_count,channel_total_view_count,channel_video_count,channel_published_at,channel_country,query_used,data_extracted_at
SllXaJiQjBA,UCX6OQ3DkcsbYNE6H8uQQuVA,MrBeast,Every Youtube Play Button,,2026-05-19T16:00:02Z,24,[],99483680,1010303,21777,PT18S,hd,false,7,18,True,6,8,491000000,125015834939,982,2012-02-20T00:43:50Z,US,MrBeast,2026-05-27T13:00:13.706638+00:00
Xr2yp8JA9LU,UCHnyfMqiRRG1u-2MsSQLbXA,Veritasium,How many batteries would it take to power a human?,"AD How many batteries would it take to power a human? We partnered with @AnkerOfficial to find out...

Pick up your Anker Prime power bank here: https://ankerfast.club/noagy5

#AnkerTech #Anker #AnkerPrime #Veritasium #Tech",2026-05-20T15:04:02Z,27,"['veritasium', 'science', 'physics', 'battery', 'batteries', 'aa battery', 'energy', 'power', 'voltage', 'current', 'circuit', 'power supply', 'current electricity', 'power bank', 'alternating current', 'voltage drop', 'direct current', 'electricity']",311669,8307,1453,PT1M45S,hd,false,6,105,True,6,8,20800000,4293280380,505,2010-07-21T07:18:02Z,US,Veritasium,2026-05-27T13:00:16.329811+00:00
V2lEgMHF2Fo,UCBa659QWEk1AI4Tg--mrJ2A,Tom Scott,I should not have liked the world’s first smart home.,"In Northumberland, I learn a shocking fact about some lamps, and utter the phrase ""it gets worse"". | 🌍 AD: Get the best deal NordVPN's offering right now: https://nordvpn.com/tomscott | 🗺️ England series map: https://www.tomscott.com/england/

🟥 MORE FROM TOM: https://www.tomscott.com/
(you can find contact details and social links there too)

📰 WEEKLY NEWSLETTER with good stuff from the rest of the internet: https://www.tomscott.com/newsletter/
❓ LATERAL, free weekly podcast: https://lateralcast.com/ https://youtube.com/lateralcast/
➕ TOM SCOTT PLUS: https://youtube.com/tomscottplus
👥 THE TECHNICAL DIFFICULTIES: https://youtube.com/techdif

Written and presented by
Tom Scott

Producers
for Penny4 https://penny4.co.uk/
Cambria Bailey-Jones
Guy Larsen

Studio Associate Producer
Heloise Lowenthal

Studio Director of Photography
Jamie MacLeod

Studio Gaffer
Frank Hammond

Head of Post
for Breadbox Studios https://www.breadboxstudios.co.uk/
Mandy Celine

Associate Post Producer
Isla McTear

Senior Editor
Jamie MacLeod

Assistant Editor
Alex “J’Rassic” Bate

Sound Supervisor
Dan Pugsley

Sound Assistant
Maggy Apodaca

Subtitles by So Speedy https://www.sospeedy.co.uk/

With thanks to the Historic County Borders Project https://www.county-borders.co.uk/

Executive Producer
Tom Scott

© Pad 26 Limited MMXXVI",2026-05-18T15:00:57Z,27,"['tom scott', 'tomscott']",1293244,57029,2674,PT25M33S,hd,true,8,1533,False,6,8,6700000,1914468810,741,2006-05-17T19:52:09Z,,Tom Scott,2026-05-27T13:00:21.063281+00:00
E3hvLz717zM,UC9-y-6csu5WGm29I7JiwpnA,Computerphile,Why Multi-Threaded Code Can Sometimes Misbehave (Weak Memory Concurrency) - Computerphile,"Learn more and apply to Jane Street’s WiSE program in New York, London or Hong Kong: https://jane-st.co/Computerphile-WiSE-2026 (episode sponsor)
Professor Azalea Raad leads the Veritas Lab at Imperial College London... More information about this video in the full description below.

This video is about how Weak Memory Concurrency can cause multiple threads to do unexpected things! 

Azalea Raad: https://profiles.imperial.ac.uk/azalea.raad

Learn more and apply to Jane Street’s WiSE program in New York, London or Hong Kong: https://jane-st.co/Computerphile-WiSE-2026

Computerphile is supported by Jane Street. Learn more about them (and exciting career opportunities) at: https://jane-st.co/computerphile

This video was filmed and edited by Sean Riley.

Computerphile is a sister project to Brady Haran's Numberphile. More at https://www.bradyharanblog.com",2026-05-18T13:30:20Z,27,"['computers', 'computerphile', 'computer', 'science']",58884,2706,183,PT16M25S,hd,false,8,985,False,6,8,2620000,236144695,903,2009-04-10T21:59:58Z,,Computerphile,2026-05-27T13:00:31.839707+00:00
