video_id,channel_id,channel_title,title,description,published_at,category_id,tags,view_count,like_count,comment_count,duration,definition,caption,video_age_days,duration_seconds,is_short,collection_min_age_days,collection_max_age_days,channel_subscriber_count,channel_total_view_count,channel_video_count,channel_published_at,channel_country,query_used,data_extracted_at
iKxKFPsQAxk,UCKy1dAqELo0zrOtPkf0eTMw,IGN,Under a Rock - Official Taming Gameplay Trailer,"Check out the Taming Gameplay Trailer for Under a Rock, an open-world survival and creature taming game developed by Nordic Trolls. Players will set out into procedurally generated worlds to survive, overcome challenges, and tame wild creatures. Bring them back to base to produce resources and eventually hatch them into companions that can be ridden, fight, and evolve over time. Under a Rock is coming soon to PlayStation 5 (PS5), Xbox Series X|S, and PC (Steam and Epic Games Store).",2026-05-27T11:00:02Z,20,"['Action', 'Crafting', 'Gameforge 4D GmbH', 'Nordic Trolls', 'Online Co-Op Multiplayer', 'PC', 'PlayStation 5', 'RPG', 'Survival', 'Under A Rock', 'Unreal Engine 5', 'Xbox Series X/S']",28875,688,92,PT3M29S,hd,false,6,209,False,6,30,19800000,21415131722,180754,2006-09-19T03:13:01Z,US,IGN,2026-06-02T11:07:41.615860+00:00
MsZNb5fD_S8,UCKy1dAqELo0zrOtPkf0eTMw,IGN,Multiple Buzz Lightyears return in Toy Story 5,"Subscribe to IGN for more!
http://www.youtube.com/user/IGNentertainment?sub_confirmation=1

#IGN",2026-05-27T01:27:25Z,20,['ign'],43804,1166,0,PT1M15S,hd,false,6,75,True,6,30,19800000,21415131722,180754,2006-09-19T03:13:01Z,US,IGN,2026-06-02T11:07:41.615898+00:00
YUAOc9Z0D-c,UCKy1dAqELo0zrOtPkf0eTMw,IGN,Spider-Noir is GREAT,"Subscribe to IGN for more!
http://www.youtube.com/user/IGNentertainment?sub_confirmation=1

#IGN",2026-05-27T01:26:40Z,20,['ign'],139204,3633,198,PT38S,hd,false,6,38,True,6,30,19800000,21415131722,180754,2006-09-19T03:13:01Z,US,IGN,2026-06-02T11:07:41.615913+00:00
JqSUFB83lto,UCKy1dAqELo0zrOtPkf0eTMw,IGN,The Jackass cast will be at IGN Live!,"Subscribe to IGN for more!
http://www.youtube.com/user/IGNentertainment?sub_confirmation=1

#IGN",2026-05-27T01:25:55Z,20,['ign'],34025,388,22,PT32S,hd,false,6,32,True,6,30,19800000,21415131722,180754,2006-09-19T03:13:01Z,US,IGN,2026-06-02T11:07:41.615923+00:00
OezDqyUmeNg,UCKy1dAqELo0zrOtPkf0eTMw,IGN,LEGO Batman arcade cabinet references the Batman actors,"Subscribe to IGN for more!
http://www.youtube.com/user/IGNentertainment?sub_confirmation=1

#IGN",2026-05-27T01:25:30Z,20,['ign'],74258,1190,29,PT23S,hd,false,6,23,True,6,30,19800000,21415131722,180754,2006-09-19T03:13:01Z,US,IGN,2026-06-02T11:07:41.615932+00:00
JAwAv9iTnnQ,UCKy1dAqELo0zrOtPkf0eTMw,IGN,Mount & Blade 2: Bannerlord War Sails - Official Accolades Trailer,"Don't miss the Accolades Trailer for Mount & Blade 2: Bannerlord - War Sails, a medieval strategy open-world adventure RPG developed by Tale Worlds Entertainment. Players can get a look at the critical reception for Mount & Blade 2: Bannerlord - War Sails, available now for PlayStation 5 (PS5), Xbox Series X|S, and PC (Steam, Epic Games Store, and GoG).",2026-05-26T22:00:07Z,20,"['Action', 'Adventure', 'DLC / Expansion', 'Mount & Blade II: Bannerlord - War Sails', 'Mount and Blade', 'Online', 'Online Versus Multiplayer', 'PC', 'PlayStation 5', 'RPG', 'Steam Deck Playable', 'Strategy', 'Taleworlds', 'Xbox Series X/S']",25198,508,37,PT40S,hd,false,6,40,True,6,30,19800000,21415131722,180754,2006-09-19T03:13:01Z,US,IGN,2026-06-02T11:07:41.615941+00:00
JrUGHsDfOd8,UCKy1dAqELo0zrOtPkf0eTMw,IGN,"PlayStation Plus Games for June 2026 Add Warhammer 40K, More - IGN Daily Fix","In today's Daily Fix:

Sony has revealed the free games coming to PlayStation Plus in June. Warhammer 40,000: Darktide leads the pak, along with Grounded: Fully Yoked Edition, and Nickelodeon All-Star Brawl 2. Destiny 2 is also coming to Extra and Premium tiers, coinciding with the game's final content update. In other news, The Witcher 3: Blood and Wine is getting an anniversary livestream this week, and it could be the perfect time to announce new Witcher 3 DLC. And finally, we should all be playing Grand Theft Auto 6 right now, if it weren't for the pesky delays.",2026-05-26T21:30:38Z,20,"['PS Plus June 2026 Free Games', 'Warhammer 40k Darktide PS Plus', 'New Witcher 3 DLC Rumors', 'GTA 6 May 26 Delay', 'IGN', 'PlayStation Plus June 2026', 'Destiny 2 PS Plus Extra Premium', 'Destiny 2 June 9 Content Update', 'Free PS5 Games June', 'GTA 6 Original Release Date May 26', 'Grand Theft Auto 6 Delayed to November', 'Strauss Zelnick Take-Two Earnings Call', 'GTA 6 November 19 Launch Window', 'Rockstar Games Summer Marketing Campaign', 'GTA 6 Trailer 3 Release Date', 'The Witcher 4']",31046,698,51,PT5M27S,hd,false,6,327,False,6,30,19800000,21415131722,180754,2006-09-19T03:13:01Z,US,IGN,2026-06-02T11:07:41.615950+00:00
DYFzgpvZ7rA,UCKy1dAqELo0zrOtPkf0eTMw,IGN,The Agent roles and how they work in World of Tanks: HEAT. Presented by @WoT_HEAT,"Subscribe to IGN for more!
http://www.youtube.com/user/IGNentertainment?sub_confirmation=1

#IGN",2026-05-26T20:11:41Z,20,['ign'],155207,765,32,PT1M,hd,false,6,60,True,6,30,19800000,21415131722,180754,2006-09-19T03:13:01Z,US,IGN,2026-06-02T11:07:41.615959+00:00
rZUpiQgfeLo,UCKy1dAqELo0zrOtPkf0eTMw,IGN,Marathon - Official Season 2 Cinematic Trailer,"Watch the Season 2 Cinematic Trailer for Marathon, the hit extraction first-person shooter developed by Bungie. Players will head into the night as Nightfall emerges on Dire Marsh, offering a tense and dark experience against other Runners and new creatures native to Tau Ceti 4. Fight on the new Night Marsh map with new content such as the new Runner shell Sentinel, the Cradle, new weapons, progression improvements, and more. Season 2 for Marathon kicks off on June 2 for PlayStation 5 (PS5), Xbox Series X|S, and PC (Steam).

#Marathon #Gaming #IGN",2026-05-26T19:16:33Z,20,"['Bungie Software', 'Cross-Platform Play', 'Marathon', 'Online Co-Op Multiplayer', 'Online Versus Multiplayer', 'PC', 'PlayStation 5', 'Sci-Fi', 'Shooter', 'Xbox Series X/S', 'marathon season 2', 'marathon', 'marathon season 2 news', 'marathon update', 'marathon game', 'marathon nightfall', 'marathon season 2 update', 'marathon new season', 'marathon new content', 'marathon new update', 'marathon night marsh', 'marathon night marsh gameplay', 'Season 2', 'marathon season 2 trailer']",22523,565,274,PT2M17S,hd,false,6,137,True,6,30,19800000,21415131722,180754,2006-09-19T03:13:01Z,US,IGN,2026-06-02T11:07:41.615968+00:00
TGQdG9MxDJA,UCKy1dAqELo0zrOtPkf0eTMw,IGN,Mount & Blade 2: Bannerlord War Sails - Official Seaborne Village Raids Trailer,"Take a look at the Seaborne Village Raids Trailer for Mount & Blade 2: Bannerlord - War Sails, a medieval strategy open-world adventure RPG developed by Tale Worlds Entertainment. Players can now take the fight to the open seas with the Seaborne Village Raids. Strike coastal settlements, engage in naval combat encounters, and strategize defense against other lords. Seaborne Village Raids for Mount & Blade 2: Bannerlord - War Sails is available now for PC (Steam), with a release on consoles coming soon.",2026-05-26T19:00:23Z,20,"['Action', 'Adventure', 'DLC / Expansion', 'Mount & Blade II: Bannerlord - War Sails', 'Mount and Blade', 'Online', 'Online Versus Multiplayer', 'PC', 'PlayStation 5', 'RPG', 'Steam Deck Playable', 'Strategy', 'Taleworlds', 'Xbox Series X/S']",23695,325,22,PT1M6S,hd,false,6,66,True,6,30,19800000,21415131722,180754,2006-09-19T03:13:01Z,US,IGN,2026-06-02T11:07:41.615977+00:00
